-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     204.865us         0.02%     204.865us       4.268us            48  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     203.266us         0.02%     203.266us       4.235us            48  
                                              aten::sub         0.22%       2.345ms         0.37%       3.886ms      15.605us     199.161us         0.02%     199.161us       0.800us           249  
triton_poi_fused__to_copy_add_cat_clone_rms_norm_sli...         0.00%       0.000us         0.00%       0.000us       0.000us     189.949us         0.02%     189.949us       1.711us           111  
                                     aten::masked_fill_         0.07%     782.388us         0.14%       1.459ms      19.989us     183.203us         0.02%     183.203us       2.510us            73  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us     182.498us         0.02%     182.498us       2.098us            87  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     176.320us         0.02%     176.320us       3.673us            48  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     145.119us         0.01%     145.119us       6.047us            24  
                                           aten::arange         0.13%       1.340ms         0.57%       6.068ms      21.216us     143.453us         0.01%     286.906us       1.003us           286  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     143.453us         0.01%     143.453us       1.010us           142  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     141.505us         0.01%     141.505us       1.965us            72  
                                            aten::fill_         0.22%       2.296ms         0.56%       5.963ms       8.654us     141.248us         0.01%     142.432us       0.207us           689  
                                           aten::gather         0.10%       1.043ms         0.16%       1.722ms      22.663us     139.105us         0.01%     139.105us       1.830us            76  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     138.850us         0.01%     138.850us       1.251us           111  
                                      _rejection_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     138.560us         0.01%     138.560us       6.024us            23  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     127.262us         0.01%     127.262us       1.147us           111  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     123.778us         0.01%     123.778us       2.579us            48  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     123.454us         0.01%     123.454us       5.144us            24  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     115.739us         0.01%     115.739us       1.218us            95  
                                     aten::index_select         0.04%     422.712us         0.09%     971.419us      38.857us     113.855us         0.01%     118.303us       4.732us            25  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     106.910us         0.01%     106.910us       2.227us            48  
                         _prepare_rope_positions_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     105.951us         0.01%     105.951us       4.415us            24  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.00%       0.000us         0.00%       0.000us       0.000us     105.148us         0.01%     105.148us       1.209us            87  
                                              aten::add         0.09%     964.503us         0.14%       1.529ms      15.441us     104.608us         0.01%     104.608us       1.057us            99  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     103.454us         0.01%     103.454us       4.311us            24  
                                     aten::floor_divide         0.06%     606.427us         0.13%       1.397ms      18.148us     103.165us         0.01%     103.165us       1.340us            77  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     103.165us         0.01%     103.165us       1.433us            72  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     102.815us         0.01%     102.815us       1.428us            72  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      97.472us         0.01%      97.472us       1.120us            87  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      94.368us         0.01%      94.368us       3.932us            24  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.062s
Self CUDA time total: 1.004s

