-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void vllm::scaled_fp8_quant_kernel_strided_group_sha...         0.00%       0.000us         0.00%       0.000us       0.000us      10.091ms         0.03%      10.091ms       2.417us          4176  
triton_poi_fused_arange_bitwise_and_eq_index_lt_rema...         0.00%       0.000us         0.00%       0.000us       0.000us       9.872ms         0.03%       9.872ms       2.364us          4176  
                                _fused_post_conv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.388ms         0.03%       9.388ms      32.598us           288  
                                           Buffer Flush         0.08%      25.723ms         0.10%      29.956ms     768.090us       9.158ms         0.03%      54.964ms       1.409ms            39  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us       8.383ms         0.03%       8.383ms       2.007us          4176  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       6.615ms         0.02%       6.615ms       1.654ms             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       6.029ms         0.02%       6.029ms       3.212us          1877  
                               triton_poi_fused_zeros_3         0.00%       0.000us         0.00%       0.000us       0.000us       6.010ms         0.02%       6.010ms       1.535us          3915  
                                    cudaLaunchKernelExC         0.02%       6.943ms         1.29%     401.326ms     464.497us       5.978ms         0.02%       6.820ms       7.893us           864  
                                        cudaMemcpyAsync         0.21%      65.129ms         0.39%     120.498ms      17.563us       5.685ms         0.02%       5.742ms       0.837us          6861  
                                    cudaGetFuncBySymbol         0.01%       1.738ms         0.01%       1.738ms       1.688us       5.611ms         0.02%       5.611ms       5.447us          1030  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       5.472ms         0.02%       5.472ms      37.998us           144  
                                         cudaEventQuery         0.04%      12.757ms         0.04%      12.757ms       6.519us       4.565ms         0.01%       4.565ms       2.333us          1957  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.00%     336.391us         0.00%     336.391us       3.331us       4.406ms         0.01%       4.406ms      43.622us           101  
                            ChunkGatedDeltaRuleFunction         0.12%      38.253ms         0.16%      49.022ms     510.645us       3.726ms         0.01%       3.840ms      39.998us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.140ms         0.01%       3.140ms      10.904us           288  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.937ms         0.01%       2.937ms      10.199us           288  
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       2.929ms         0.01%       2.929ms       2.929ms             1  
                                           aten::gather         0.04%      13.819ms         0.09%      27.819ms      26.698us       2.815ms         0.01%       2.826ms       2.712us          1042  
ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.768ms         0.01%       2.768ms       2.768ms             1  
                                  Lazy Function Loading         0.00%      81.944us         0.00%      81.944us      81.944us       2.527ms         0.01%       2.527ms       2.527ms             1  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.527ms         0.01%       2.527ms       2.527ms             1  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       2.433ms         0.01%       2.433ms       2.433ms             1  
                                     aten::masked_fill_         0.01%       3.319ms         0.02%       6.320ms      17.804us       2.188ms         0.01%       2.188ms       6.162us           355  
                                            aten::index         0.05%      16.917ms         0.13%      41.198ms      66.772us       2.178ms         0.01%       2.999ms       4.861us           617  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.939ms         0.01%       1.939ms       7.488us           259  
                                              aten::add         0.05%      15.313ms         0.08%      24.060ms      15.113us       1.852ms         0.01%       1.857ms       1.167us          1592  
               triton_red_fused__to_copy_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.696ms         0.01%       1.696ms       6.497us           261  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.654ms         0.01%       1.654ms       2.113us           783  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.356ms         0.00%       1.356ms       3.787us           358  
                                              aten::sub         0.04%      13.542ms         0.09%      27.012ms      21.037us       1.320ms         0.00%       1.337ms       1.042us          1284  
