-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  layer_norm_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     113.938ms         0.33%     113.938ms      21.979us          5184  
                 execute_context_0(0)_generation_27(27)         0.00%       0.000us         0.00%       0.000us       0.000us     109.565ms         0.32%     109.565ms      54.782ms             2  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     105.444ms         0.31%     105.444ms     183.062us           576  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     104.061ms         0.31%     104.061ms     197.085us           528  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     103.944ms         0.31%     103.944ms     541.373us           192  
                 execute_context_0(0)_generation_21(21)         0.00%       0.000us         0.00%       0.000us       0.000us     102.724ms         0.30%     102.724ms      51.362ms             2  
                 execute_context_0(0)_generation_15(15)         0.00%       0.000us         0.00%       0.000us       0.000us      91.281ms         0.27%      91.281ms      45.641ms             2  
                   execute_context_0(0)_generation_9(9)         0.00%       0.000us         0.00%       0.000us       0.000us      88.555ms         0.26%      88.555ms      44.277ms             2  
                   execute_context_0(0)_generation_3(3)         0.00%       0.000us         0.00%       0.000us       0.000us      74.819ms         0.22%      74.819ms      37.409ms             2  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us      67.794ms         0.20%      67.794ms      33.897ms             2  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      61.336ms         0.18%      61.336ms     106.486us           576  
                                              aten::cat         0.05%      14.599ms         3.73%        1.009s     870.921us      52.168ms         0.15%      81.953ms      70.771us          1158  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      50.902ms         0.15%      50.902ms      96.405us           528  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      46.066ms         0.14%      46.066ms      29.211us          1577  
