-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.287ms         0.02%       1.287ms       6.702us           192  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.197ms         0.02%       1.197ms     171.002us             7  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.131ms         0.02%       1.131ms       7.853us           144  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.050ms         0.01%       1.050ms       2.506us           419  
                               triton_poi_fused_zeros_3         0.00%       0.000us         0.00%       0.000us       0.000us     971.639us         0.01%     971.639us       9.254us           105  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     959.930us         0.01%     959.930us       5.000us           192  
                               triton_poi_fused_zeros_3         0.01%     529.982us         0.01%     864.775us      14.413us     930.551us         0.01%     930.551us      15.509us            60  
                                       vllm::all_gather         0.01%     430.149us         0.01%     674.508us      96.358us     885.656us         0.01%     885.656us     126.522us             7  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     885.656us         0.01%     885.656us     126.522us             7  
                                           aten::gather         0.00%     345.112us         0.09%       6.987ms     279.485us     638.362us         0.01%     652.218us      26.089us            25  
                               cudaEventRecordWithFlags         0.00%     135.596us         0.00%     135.596us       1.654us     615.163us         0.01%     615.163us       7.502us            82  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     595.962us         0.01%     595.962us     148.990us             4  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     562.613us         0.01%     562.613us       2.930us           192  
triton_poi_fused_arange_bitwise_and_eq_index_lt_rema...         0.00%       0.000us         0.00%       0.000us       0.000us     439.038us         0.01%     439.038us       3.920us           112  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     392.572us         0.01%     392.572us      98.143us             4  
triton_poi_fused_arange_bitwise_and_eq_index_lt_rema...         0.01%     831.032us         0.27%      20.970ms     327.655us     343.806us         0.00%     554.174us       8.659us            64  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     320.924us         0.00%     320.924us       2.229us           144  
