-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     843.018us         0.02%     843.018us       2.195us           384  
                               triton_poi_fused_zeros_2         0.00%     373.489us         0.35%      50.662ms     791.592us     751.293us         0.02%     751.293us      11.739us            64  
                                     aten::masked_fill_         0.01%       1.076ms         0.44%      63.758ms     601.492us     744.604us         0.02%     874.267us       8.248us           106  
void flashinfer::PersistentVariableLengthMergeStates...         0.00%       0.000us         0.00%       0.000us       0.000us     625.436us         0.01%     625.436us       4.886us           128  
               triton_red_fused__to_copy_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     616.573us         0.01%     616.573us      61.657us            10  
               triton_red_fused__to_copy_add_rms_norm_1         0.00%      11.722us         0.00%      53.591us      26.795us     596.381us         0.01%     596.381us     298.190us             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     596.257us         0.01%     596.257us       2.464us           242  
                                 aten::_index_put_impl_         0.01%       2.132ms         1.61%     235.143ms       1.225ms     559.426us         0.01%       1.319ms       6.872us           192  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     559.426us         0.01%     559.426us       5.827us            96  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     496.606us         0.01%     496.606us      49.661us            10  
                               triton_poi_fused_zeros_3         0.00%       0.000us         0.00%       0.000us       0.000us     461.341us         0.01%     461.341us       3.076us           150  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     439.544us         0.01%     439.544us       2.144us           205  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     433.050us         0.01%     433.050us       4.511us            96  
                                    batch_memcpy_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     432.190us         0.01%     432.190us     432.190us             1  
triton_poi_fused_arange_bitwise_and_eq_index_lt_rema...         0.00%       0.000us         0.00%       0.000us       0.000us     398.591us         0.01%     398.591us       2.491us           160  
                               triton_poi_fused_zeros_3         0.00%     182.453us         0.14%      20.711ms     690.358us     354.394us         0.01%     354.394us      11.813us            30  
                                           aten::gather         0.00%     393.445us         0.01%       1.657ms      51.784us     320.413us         0.01%     349.629us      10.926us            32  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     263.774us         0.01%     263.774us     131.887us             2  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     247.998us         0.01%     247.998us       2.583us            96  
triton_poi_fused_arange_bitwise_and_eq_index_lt_rema...         0.00%     165.221us         0.03%       4.590ms     143.452us     146.623us         0.00%     146.623us       4.582us            32  
                                      aten::bitwise_not         0.01%     807.785us         0.37%      54.364ms     566.294us     143.266us         0.00%     177.186us       1.846us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     143.266us         0.00%     143.266us       1.492us            96  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     115.776us         0.00%     115.776us      57.888us             2  
                               triton_poi_fused_zeros_0         0.00%       0.000us         0.00%       0.000us       0.000us      90.657us         0.00%      90.657us       9.066us            10  
                                           aten::argmax         0.00%     265.997us         0.01%       1.373ms     137.271us      87.968us         0.00%      96.672us       9.667us            10  
                               triton_poi_fused_zeros_0         0.00%      14.147us         0.00%      63.359us      31.679us      77.760us         0.00%      77.760us      38.880us             2  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      73.504us         0.00%      73.504us       7.350us            10  
                                              aten::add         0.00%     581.461us         0.19%      27.127ms     366.576us      64.639us         0.00%      68.415us       0.925us            74  
                                              aten::sub         0.01%     755.707us         0.04%       5.667ms      57.829us      61.856us         0.00%      67.488us       0.689us            98  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.704us         0.00%      56.704us       1.233us            46  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      56.639us         0.00%      56.639us       1.888us            30  
                                     aten::floor_divide         0.00%     258.318us         0.17%      25.139ms     628.472us      44.352us         0.00%      47.872us       1.197us            40  
