-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us     374.333us         0.02%     374.333us       2.228us           168  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     363.514us         0.02%     363.514us       1.667us           218  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     340.187us         0.02%     340.187us       7.087us            48  
                               triton_poi_fused_zeros_3         0.00%       0.000us         0.00%       0.000us       0.000us     335.030us         0.02%     335.030us       0.931us           360  
triton_red_fused__to_copy_add_per_token_group_fp8_qu...         0.00%       0.000us         0.00%       0.000us       0.000us     333.282us         0.02%     333.282us       1.984us           168  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us     315.324us         0.02%     315.324us       2.190us           144  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     290.972us         0.02%     290.972us       4.041us            72  
                                 aten::_index_put_impl_         0.08%       1.249ms         0.31%       4.897ms      40.806us     281.948us         0.02%     513.790us       4.282us           120  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     281.948us         0.02%     281.948us       3.916us            72  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     277.822us         0.02%     277.822us       5.670us            49  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us     262.398us         0.02%     262.398us       5.467us            48  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     251.068us         0.02%     251.068us       1.494us           168  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     248.574us         0.02%     248.574us       1.480us           168  
                                     triton_red_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     238.038us         0.01%     238.038us       1.417us           168  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     236.065us         0.01%     236.065us       4.918us            48  
                eagle_step_slot_mapping_metadata_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     234.849us         0.01%     234.849us       1.631us           144  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     210.717us         0.01%     210.717us       4.390us            48  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     207.650us         0.01%     207.650us       4.326us            48  
                                              aten::sub         0.14%       2.148ms         0.22%       3.515ms      12.783us     205.437us         0.01%     205.437us       0.747us           275  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     182.110us         0.01%     182.110us       1.084us           168  
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_...         0.07%       1.178ms         0.12%       1.920ms      13.332us     177.176us         0.01%     177.176us       1.230us           144  
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_...         0.00%       0.000us         0.00%       0.000us       0.000us     177.176us         0.01%     177.176us       1.230us           144  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.12%       1.832ms         0.19%       3.019ms      20.968us     172.985us         0.01%     172.985us       1.201us           144  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.00%       0.000us         0.00%       0.000us       0.000us     172.985us         0.01%     172.985us       1.201us           144  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     168.030us         0.01%     168.030us       3.501us            48  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     154.495us         0.01%     154.495us       3.219us            48  
                                           aten::arange         0.08%       1.216ms         0.35%       5.523ms      19.447us     146.778us         0.01%     293.556us       1.034us           284  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     146.778us         0.01%     146.778us       1.041us           141  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     143.264us         0.01%     143.264us       1.990us            72  
                                            aten::fill_         0.09%       1.399ms         0.14%       2.178ms       3.794us     126.688us         0.01%     126.688us       0.221us           574  
                               cudaEventRecordWithFlags         0.05%     846.519us         0.05%     846.519us       1.545us     125.473us         0.01%     125.473us       0.229us           548  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     123.073us         0.01%     123.073us       2.564us            48  
                                           aten::clamp_         0.05%     831.553us         0.09%       1.426ms      14.854us     120.798us         0.01%     120.798us       1.258us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     120.798us         0.01%     120.798us       1.258us            96  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     113.247us         0.01%     113.247us       1.192us            95  
                                     aten::floor_divide         0.03%     534.052us         0.08%       1.282ms      16.644us     106.015us         0.01%     106.015us       1.377us            77  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     106.015us         0.01%     106.015us       1.472us            72  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     105.951us         0.01%     105.951us       1.472us            72  
                                         aten::scatter_         0.03%     533.591us         0.05%     841.680us      18.297us      96.832us         0.01%      96.832us       2.105us            46  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      96.832us         0.01%      96.832us       2.105us            46  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      84.573us         0.01%      84.573us       1.762us            48  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 1.579s
Self CUDA time total: 1.598s

