-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     176.287us         0.01%     176.287us       3.673us            48  
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_...         0.00%       0.000us         0.00%       0.000us       0.000us     165.758us         0.01%     165.758us       1.105us           150  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     162.656us         0.01%     162.656us       1.084us           150  
                                           aten::gather         0.33%     965.327us         0.54%       1.563ms      19.787us     153.399us         0.01%     153.399us       1.942us            79  
                                           aten::arange         0.45%       1.301ms         1.99%       5.806ms      19.482us     152.259us         0.01%     304.518us       1.022us           298  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     152.259us         0.01%     152.259us       1.029us           148  
                                            aten::fill_         0.61%       1.788ms         1.64%       4.766ms       6.656us     147.198us         0.01%     148.382us       0.207us           716  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     144.354us         0.01%     144.354us       1.977us            73  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     123.297us         0.01%     123.297us       2.569us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     122.560us         0.01%     122.560us       1.238us            99  
                                      _rejection_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     117.760us         0.01%     117.760us       4.907us            24  
                                              aten::add         0.33%     954.531us         0.50%       1.462ms      14.196us     109.887us         0.01%     109.887us       1.067us           103  
                                     aten::floor_divide         0.19%     558.051us         0.46%       1.339ms      16.741us     109.378us         0.01%     109.378us       1.367us            80  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     109.378us         0.01%     109.378us       1.458us            75  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     107.967us         0.01%     107.967us       1.440us            75  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     105.631us         0.01%     105.631us       4.225us            25  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     104.926us         0.01%     104.926us       4.197us            25  
                                           aten::clamp_         0.28%     808.124us         0.42%       1.230ms      12.305us      97.698us         0.01%      97.698us       0.977us           100  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      97.698us         0.01%      97.698us       1.303us            75  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      85.500us         0.01%      85.500us       1.781us            48  
                                     aten::index_select         0.13%     376.327us         0.29%     853.051us      32.810us      84.384us         0.01%      88.031us       3.386us            26  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      84.223us         0.01%      84.223us       1.123us            75  
                                _fused_post_conv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      83.328us         0.01%      83.328us       1.736us            48  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      83.294us         0.01%      83.294us       3.204us            26  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 291.043ms
Self CUDA time total: 1.271s

